,Link,Is_Batter
99,https://www.baseball-reference.com/players/gl.fcgi?id=mountry01&t=b&year=2021,True
100,https://www.baseball-reference.com/players/gl.fcgi?id=mullice01&t=b&year=2021,True
101,https://www.baseball-reference.com/players/gl.fcgi?id=nevinty01&t=b&year=2021,True
102,https://www.baseball-reference.com/players/gl.fcgi?id=plutkad01&t=b&year=2021,True
103,https://www.baseball-reference.com/players/gl.fcgi?id=ruizri01&t=b&year=2021,True
104,https://www.baseball-reference.com/players/gl.fcgi?id=santaan02&t=b&year=2021,True
105,https://www.baseball-reference.com/players/gl.fcgi?id=sceroma01&t=p&year=2021,False
106,https://www.baseball-reference.com/players/gl.fcgi?id=scottta01&t=b&year=2021,True
107,https://www.baseball-reference.com/players/gl.fcgi?id=severpe01&t=b&year=2021,True
108,https://www.baseball-reference.com/players/gl.fcgi?id=siscoch01&t=b&year=2021,True
109,https://www.baseball-reference.com/players/gl.fcgi?id=stewadj01&t=b&year=2021,True
110,https://www.baseball-reference.com/players/gl.fcgi?id=sulseco01&t=b&year=2021,True
111,https://www.baseball-reference.com/players/gl.fcgi?id=tatedi01&t=b&year=2021,True
112,https://www.baseball-reference.com/players/gl.fcgi?id=uriasra01&t=b&year=2021,True
113,https://www.baseball-reference.com/players/gl.fcgi?id=valaipa01&t=b&year=2021,True
114,https://www.baseball-reference.com/players/gl.fcgi?id=valdece01&t=b&year=2021,True
115,https://www.baseball-reference.com/players/gl.fcgi?id=waddebr01&t=p&year=2021,False
116,https://www.baseball-reference.com/players/gl.fcgi?id=wadeko01&t=p&year=2021,False
117,https://www.baseball-reference.com/players/gl.fcgi?id=watkisp01&t=p&year=2021,False
118,https://www.baseball-reference.com/players/gl.fcgi?id=wellsal01&t=p&year=2021,False
119,https://www.baseball-reference.com/players/gl.fcgi?id=wellsty01&t=b&year=2021,True
120,https://www.baseball-reference.com/players/gl.fcgi?id=wilkest01&t=b&year=2021,True
121,https://www.baseball-reference.com/players/gl.fcgi?id=wynnsau01&t=b&year=2021,True
122,https://www.baseball-reference.com/players/gl.fcgi?id=zimmebr02&t=b&year=2021,True
